"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Page";"Sheets";"=";"+";"txt_1";"txt_2";"txt_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"28";"28";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"22";"23";"= 411";"+ 400A";"forming machine A";"transversal screw conveyor";"411M30";"22";"23";"= 411";"+ 400A";"forming machine A";"transversal screw conveyor";"411M30"
"29";"29";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"23";"23";"= 411";"+ 400A";"forming machine A";"injection screw";"411M31";"23";"23";"= 411";"+ 400A";"forming machine A";"injection screw";"411M31"
"30";"30";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"24";"23";"= 411";"+ 400A";"forming machine A";"recycling conveyor";"411M32";"24";"23";"= 411";"+ 400A";"forming machine A";"recycling conveyor";"411M32"
"31";"31";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"24a";"23";"= 411";"+ 400A";"forming machine A";"screw ???";"411M33";"24a";"23";"= 411";"+ 400A";"forming machine A";"screw ???";"411M33"
"32";"32";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"24b";"23";"= 411";"+ 400A";"forming machine A";"vibrator outside";"411M34";"24b";"23";"= 411";"+ 400A";"forming machine A";"vibrator outside";"411M34"
"33";"33";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"25";"17";"= 413";"+ 400A";"forming machine B";"dosing belt cleaning brush";"413M10";"25";"17";"= 413";"+ 400A";"forming machine B";"dosing belt cleaning brush";"413M10"
"34";"34";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"26";"17";"= 413";"+ 400A";"forming machine B";"rotary combs";"413M11";"26";"17";"= 413";"+ 400A";"forming machine B";"rotary combs";"413M11"
"35";"35";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"36";"36";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"28";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt left";"413M15";"28";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt left";"413M15"
"37";"37";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"29";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt right";"413M16";"29";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt right";"413M16"
"38";"38";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"39";"39";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"40";"40";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"41";"41";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"32";"17";"= 413";"+ 400A";"forming machine B";"slow disk rolls";"413M21";"32";"17";"= 413";"+ 400A";"forming machine B";"slow disk rolls";"413M21"
"42";"42";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"33";"17";"= 413";"+ 400A";"forming machine B";"transport belt";"413M22";"33";"17";"= 413";"+ 400A";"forming machine B";"transport belt";"413M22"
"43";"43";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"34";"17";"= 413";"+ 400A";"forming machine B";"left longitudinal screw conveyor";"413M23";"34";"17";"= 413";"+ 400A";"forming machine B";"left longitudinal screw conveyor";"413M23"
"44";"44";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"35";"17";"= 413";"+ 400A";"forming machine B";"right longitudinal screw conveyor";"413M24";"35";"17";"= 413";"+ 400A";"forming machine B";"right longitudinal screw conveyor";"413M24"
"45";"45";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"36";"17";"= 413";"+ 400A";"forming machine B";"cleaning brush transport belt";"413M26";"36";"17";"= 413";"+ 400A";"forming machine B";"cleaning brush transport belt";"413M26"
"46";"46";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"38";"17";"= 413";"+ 400A";"forming machine B";"transversal screw conveyor belt";"413M30";"38";"17";"= 413";"+ 400A";"forming machine B";"transversal screw conveyor belt";"413M30"
"47";"47";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"39";"17";"= 413";"+ 400A";"forming machine B";"injection screw";"413M31";"39";"17";"= 413";"+ 400A";"forming machine B";"injection screw";"413M31"
"48";"48";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"40";"17";"= 413";"+ 400A";"forming machine B";"recycling conveyor";"413M32";"40";"17";"= 413";"+ 400A";"forming machine B";"recycling conveyor";"413M32"
"49";"49";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"50";"50";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"51";"51";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"52";"52";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0"
"53";"53";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1"
"54";"54";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10"
"55";"55";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11"
"56";"56";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"57";"57";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14"
"58";"58";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15"
"59";"59";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16"
"60";"60";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"61";"61";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"62";"62";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"63";"63";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"64";"64";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"55";"26";"= 418";"+ 400A";"forming machine D";"slow disk rolls";"418M21";"55";"26";"= 418";"+ 400A";"forming machine D";"slow disk rolls";"418M21"
"65";"65";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"56";"26";"= 418";"+ 400A";"forming machine D";"transport belt";"418M22";"56";"26";"= 418";"+ 400A";"forming machine D";"transport belt";"418M22"
"66";"66";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"57";"26";"= 418";"+ 400A";"forming machine D";"left longitudinal screw conveyor";"418M23";"57";"26";"= 418";"+ 400A";"forming machine D";"left longitudinal screw conveyor";"418M23"
"67";"67";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"58";"26";"= 418";"+ 400A";"forming machine D";"right longitudinal screw conveyor";"418M24";"58";"26";"= 418";"+ 400A";"forming machine D";"right longitudinal screw conveyor";"418M24"
"68";"68";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"59";"26";"= 418";"+ 400A";"forming machine D";"cleaning brush transport belt";"418M26";"59";"26";"= 418";"+ 400A";"forming machine D";"cleaning brush transport belt";"418M26"
"69";"69";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4";"59a";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"70";"70";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"71";"71";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"59c";"26";"= 418";"+ 400A";"";"TEXPAN filter rotary valve";"418M2";"59c";"26";"= 418";"+ 400A";"";"TEXPAN filter rotary valve";"418M2"
"72";"72";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"59d";"26";"= 418";"+ 400A";"";"TEXPAN filter screw conveyor";"418M3";"59d";"26";"= 418";"+ 400A";"";"TEXPAN filter screw conveyor";"418M3"
"73";"73";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"61";"26";"= 418";"+ 400A";"forming machine D";"transversal screw conveyor belt";"418M30";"61";"26";"= 418";"+ 400A";"forming machine D";"transversal screw conveyor belt";"418M30"
"74";"74";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"62";"26";"= 418";"+ 400A";"forming machine D";"injection screw";"418M31";"62";"26";"= 418";"+ 400A";"forming machine D";"injection screw";"418M31"
"75";"75";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"63";"26";"= 418";"+ 400A";"forming machine D";"recycling conveyor";"418M32";"63";"26";"= 418";"+ 400A";"forming machine D";"recycling conveyor";"418M32"
"76";"76";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"81";"26";"= 418";"+ 400A";"forming machine D";"recycling screw conveyor";"418M33";"81";"26";"= 418";"+ 400A";"forming machine D";"recycling screw conveyor";"418M33"
"77";"77";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"78";"78";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"79";"79";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
"80";"80";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"67";"5";"= 420";"+ 400A";"forming line";"HP - pump";"420M9";"67";"5";"= 420";"+ 400A";"forming line";"HP - pump";"420M9"
"81";"81";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15";"68";"5";"= 420";"+ 400A";"forming line";"cleaning brush";"420M15"
"82";"82";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"83";"83";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2";"70";"7";"= 421";"+ 400A";"pre - press";"hydraulics
cooling - fan";"421M2"
"84";"84";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"85";"85";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"86";"86";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"87";"87";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5"
"88";"88";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13";"71d";"7";"= 421";"+ 400A";"pre - press";"belt adjustment
air evacuation belt";"421M13"
"89";"89";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"72";"29";"= 427";"+ 400A";"press hydraulics";"cooling and filtering pump";"427M1.1";"72";"29";"= 427";"+ 400A";"press hydraulics";"cooling and filtering pump";"427M1.1"
"90";"90";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"73";"29";"= 427";"+ 400A";"press hydraulics";"fan air cooling";"427M1.2";"73";"29";"= 427";"+ 400A";"press hydraulics";"fan air cooling";"427M1.2"
"91";"91";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"74";"29";"= 427";"+ 400A";"press hydraulics";"close shut off valve 60";"spare";"74";"29";"= 427";"+ 400A";"press hydraulics";"close shut off valve 60";"spare"
"92";"92";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"75";"29";"= 427";"+ 400A";"press";"hydraulics HP - pump";"427M3";"75";"29";"= 427";"+ 400A";"press";"hydraulics HP - pump";"427M3"
"93";"93";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
"94";"94";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"95";"95";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"77";"29";"= 427";"+ 400A";"press hydraulics";"washing pump";"427M8.1";"77";"29";"= 427";"+ 400A";"press hydraulics";"washing pump";"427M8.1"
"96";"96";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2";"78";"29";"= 427";"+ 400A";"press hydraulics";"stop cock 21 close";"427M8.2"
"97";"97";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"79";"29";"= 427";"+ 400A";"press";"exhaust oil mist";"427M23";"79";"29";"= 427";"+ 400A";"press";"exhaust oil mist";"427M23"
"98";"98";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"80";"29";"= 427";"+ 400A";"press";"fan air circulation belt lubrication top";"427M24";"80";"29";"= 427";"+ 400A";"press";"fan air circulation belt lubrication top";"427M24"
"99";"99";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"81";"29";"= 427";"+ 400A";"press";"fan air circulation belt lubrication top";"427M25";"81";"29";"= 427";"+ 400A";"press";"fan air circulation belt lubrication top";"427M25"
"100";"100";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"82";"29";"= 427";"+ 400A";"press";"pump roll rod chain belt lubrication";"427M28";"82";"29";"= 427";"+ 400A";"press";"pump roll rod chain belt lubrication";"427M28"
"101";"101";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"83";"29";"= 427";"+ 400A";"press";"pump align and press lubrication of chain";"427M29";"83";"29";"= 427";"+ 400A";"press";"pump align and press lubrication of chain";"427M29"
"102";"102";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30";"84";"29";"= 427";"+ 400A";"press";"belt adjustment
middle belt";"427M30"
"103";"103";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"85";"29";"= 427";"+ 400A";"press";"spare";"";"85";"29";"= 427";"+ 400A";"press";"spare";""
"104";"104";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"86";"29";"= 427";"+ 400A";"press";"spare";"";"86";"29";"= 427";"+ 400A";"press";"spare";""
"105";"105";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"87";"29";"= 427";"+ 400A";"press";"spare";"";"87";"29";"= 427";"+ 400A";"press";"spare";""
"106";"106";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"88";"29";"= 427";"+ 400A";"press";"spare";"";"88";"29";"= 427";"+ 400A";"press";"spare";""
"107";"107";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"88a";"29";"= 427";"+ 400A";"press";"spare";"";"88a";"29";"= 427";"+ 400A";"press";"spare";""
"108";"108";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"88b";"29";"= 427";"+ 400A";"press";"spare";"";"88b";"29";"= 427";"+ 400A";"press";"spare";""
"109";"109";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"110";"110";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"111";"111";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
