"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"pin_4";"pin_5";"pin_6";"link";"txt_1";"txt_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"25";"31";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q33";"1";"2";"3";"4";"5";"6";"/24a.6";"3RV1011";"2,8-4A
b=3A";"24a";"23";"= 411";"+ 400A";"forming machine A";"screw ???";"411M33"
"26";"32";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q34";"1";"2";"3";"4";"5";"6";"/24b.6";"?-?A";"b=?A";"24b";"23";"= 411";"+ 400A";"forming machine A";"vibrator outside";"411M34"
"27";"33";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q10";"1";"2";"3";"4";"5";"6";"/25.6";"3VU1300";"1,6-2,4A
b=2,2A";"25";"17";"= 413";"+ 400A";"forming machine B";"dosing belt cleaning brush";"413M10"
"28";"34";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q11";"1";"2";"3";"4";"5";"6";"/26.6";"3VU1300";"4-6A
b=5,2A";"26";"17";"= 413";"+ 400A";"forming machine B";"rotary combs";"413M11"
"29";"35";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q13";"1";"2";"3";"4";"5";"6";"/27.6";"3VU1300";"2,4-4A
b=2,85A";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"30";"36";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q15";"1";"2";"3";"4";"5";"6";"/28.6";"3VU1300";"1,6-2,4A
b=2,1A";"28";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt left";"413M15"
"31";"37";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q16";"1";"2";"3";"4";"5";"6";"/29.6";"3VU1300";"1,6-2,4A
b=2,1A";"29";"17";"= 413";"+ 400A";"forming machine B";"distrbution belt right";"413M16"
"32";"38";"AZD_H_11";"A";"approved";"170.08";"122.66";"1192.0";"871.0";"-Q17.1";"1";"2";"3";"4";"5";"6";"/30a.1";"3VU1300";"0,6-1A
b=0,87A";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"33";"38";"AZD_H_11";"A";"approved";"170.08";"440.14";"1192.0";"871.0";"-Q17.2";"1";"2";"3";"4";"5";"6";"/30a.1";"3VU1300";"0,4-0,6A
b=0,47A";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"34";"40";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q20";"1";"2";"3";"4";"5";"6";"/31.6";"3VU1300";"6-10A
b=6,9A";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"35";"41";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q21";"1";"2";"3";"4";"5";"6";"/32.6";"3VU1300";"1-1,6A
b=1,3A";"32";"17";"= 413";"+ 400A";"forming machine B";"slow disk rolls";"413M21"
"36";"42";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q22";"1";"2";"3";"4";"5";"6";"/33.6";"3VU1300";"2,4-4
b=2,9A";"33";"17";"= 413";"+ 400A";"forming machine B";"transport belt";"413M22"
"37";"43";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q23";"1";"2";"3";"4";"5";"6";"/34.6";"3VU1300";"4-6A
b=5,2A";"34";"17";"= 413";"+ 400A";"forming machine B";"left longitudinal screw conveyor";"413M23"
"38";"44";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q24";"1";"2";"3";"4";"5";"6";"/35.6";"3VU1300";"4-6A
b=5,2A";"35";"17";"= 413";"+ 400A";"forming machine B";"right longitudinal screw conveyor";"413M24"
"39";"45";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q26";"1";"2";"3";"4";"5";"6";"/36.6";"3VU1300";"1,6-2,4A
b=2,2A";"36";"17";"= 413";"+ 400A";"forming machine B";"cleaning brush transport belt";"413M26"
"40";"46";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q30";"1";"2";"3";"4";"5";"6";"/38.6";"3VU1300";"6-10A
b=6,9A";"38";"17";"= 413";"+ 400A";"forming machine B";"transversal screw conveyor belt";"413M30"
"41";"47";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q31";"1";"2";"3";"4";"5";"6";"/39.6";"3VU1300";"6-10A
b=6,9A";"39";"17";"= 413";"+ 400A";"forming machine B";"injection screw";"413M31"
"42";"48";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q32";"1";"2";"3";"4";"5";"6";"/40.6";"3VU1300";"18-25A
b=19,0A";"40";"17";"= 413";"+ 400A";"forming machine B";"recycling conveyor";"413M32"
"43";"49";"AZD_H_11";"A";"approved";"170.08";"122.66";"1192.0";"871.0";"-Q3.1";"1";"2";"3";"4";"5";"6";"/41.4";"3VU1300";"4-6A
b=5,4A";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"44";"49";"AZD_H_11";"A";"approved";"170.08";"440.14";"1192.0";"871.0";"-Q3.2";"1";"2";"3";"4";"5";"6";"/41.4";"3VU1300";"2,4-4A
b=3,3A";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"45";"50";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q6";"1";"2";"3";"4";"5";"6";"/42.5";"3VU1300";"0,6-1A
b=0,65A";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"46";"51";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q25";"1";"2";"3";"4";"5";"6";"/43.5";"3VU1300";"2,4-4A
b=2,9A";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"47";"52";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q0";"1";"2";"3";"4";"5";"6";"/44.6";"3VU1300";"18-25A
b=18,5A";"44";"26";"= 418";"+ 400A";"forming machine D";"left fan";"418M0"
"48";"53";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q1";"1";"2";"3";"4";"5";"6";"/45.6";"3VU1300";"18-25A
b=18,5A";"45";"26";"= 418";"+ 400A";"forming machine D";"right fan";"418M1"
"49";"54";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q10";"1";"2";"3";"4";"5";"6";"/46.6";"3VU1300";"1,6-2,4A
b=2,2A";"46";"26";"= 418";"+ 400A";"forming machine D";"dosing belt cleaning brush";"418M10"
"50";"55";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q11";"1";"2";"3";"4";"5";"6";"/47.6";"3VU1300";"4-6A
b=5,2A";"47";"26";"= 418";"+ 400A";"forming machine D";"rotary combs";"418M11"
"51";"56";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q13";"1";"2";"3";"4";"5";"6";"/48.6";"3VU1300";"2,4-4A
b=2,85A";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"52";"57";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q14";"1";"2";"3";"4";"5";"6";"/49.6";"3VU1300";"1,6-2,4A
b=2,2A";"49";"26";"= 418";"+ 400A";"forming machine D";"oscillating flap";"418M14"
"53";"58";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q15";"1";"2";"3";"4";"5";"6";"/50.6";"3VU1300";"1,6-2,4A
b=2,1A";"50";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt left";"418M15"
"54";"59";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q16";"1";"2";"3";"4";"5";"6";"/51.6";"3VU1300";"1,6-2,4A
b=2,1A";"51";"26";"= 418";"+ 400A";"forming machine D";"distrbution belt right";"418M16"
"55";"60";"AZD_H_11";"A";"approved";"170.08";"122.66";"1192.0";"871.0";"-Q17.1";"1";"2";"3";"4";"5";"6";"/52a.1";"3VU1300";"0,6-1A
b=0,87A";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"56";"60";"AZD_H_11";"A";"approved";"170.08";"440.14";"1192.0";"871.0";"-Q17.2";"1";"2";"3";"4";"5";"6";"/52a.1";"3VU1300";"0,4-0,6A
b=0,47A";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"57";"62";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q18";"1";"2";"3";"4";"5";"6";"/53.6";"3VU1300";"0,24-0,4A
b=0,28A";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"58";"62";"AZD_H_11";"A";"approved";"385.51";"168.01";"1192.0";"871.0";"-Q19";"1";"2";"3";"4";"5";"6";"/53.7";"3VU1300";"0,24-0,4A
b=0,28A";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"59";"63";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q20";"1";"2";"3";"4";"5";"6";"/54.6";"3VU1300";"6-10A
b=6,9A";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"60";"64";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q21";"1";"2";"3";"4";"5";"6";"/55.6";"3VU1300";"1-1,6A
b=1,3A";"55";"26";"= 418";"+ 400A";"forming machine D";"slow disk rolls";"418M21"
"61";"65";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q22";"1";"2";"3";"4";"5";"6";"/56.6";"3VU1300";"2,4-4
b=2,9A";"56";"26";"= 418";"+ 400A";"forming machine D";"transport belt";"418M22"
"62";"66";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q23";"1";"2";"3";"4";"5";"6";"/57.6";"3VU1300";"4-6A
b=5,2A";"57";"26";"= 418";"+ 400A";"forming machine D";"left longitudinal screw conveyor";"418M23"
"63";"67";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q24";"1";"2";"3";"4";"5";"6";"/58.6";"3VU1300";"4-6A
b=5,2A";"58";"26";"= 418";"+ 400A";"forming machine D";"right longitudinal screw conveyor";"418M24"
"64";"68";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q26";"1";"2";"3";"4";"5";"6";"/59.6";"3VU1300";"1,6-2,4A
b=2,2A";"59";"26";"= 418";"+ 400A";"forming machine D";"cleaning brush transport belt";"418M26"
"65";"71";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q5";"1";"2";"3";"4";"5";"6";"";"3VU1300";"";"59c";"26";"= 418";"+ 400A";"";"TEXPAN filter rotary valve";"418M2"
"66";"72";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q6";"1";"2";"3";"4";"5";"6";"";"3VU1300";"";"59d";"26";"= 418";"+ 400A";"";"TEXPAN filter screw conveyor";"418M3"
"67";"73";"AZD_H_11";"A";"approved";"170.08";"168.01";"1192.0";"871.0";"-Q30";"1";"2";"3";"4";"5";"6";"/61.6";"3VU1300";"6-10A
b=6,9A";"61";"26";"= 418";"+ 400A";"forming machine D";"transversal screw conveyor belt";"418M30"
